age,average_transaction_amount,city,customer_id,daily_transaction_count,favourite_categories,income,large_purchase_tendency,merchant_loyalty,morning_preference,preferred_payment_methods,scenario_id,scenario_type,spending_variability,travel_tendency,usual_device,usual_end_hour,usual_payment_method,usual_start_hour,weekend_activity_multiplier
25,2028.14,Mumbai,C0001,1,Travel|Entertainment|Electronics,87271,0.10167613528523714,0.7263919263059322,0.5519125078965501,NET_BANKING|UPI|CARD,SCN-002026-0001,KYC_IDENTITY,0.1751848382546232,0.045469405025729895,D0001,23,NET_BANKING,10,1.3008207665268943
46,3285.64,Pune,C0002,2,Shopping|Electronics,114185,0.08447950430510605,0.5794208713311815,0.2537989820127958,UPI|CARD|NET_BANKING,SCN-002026-0002,TRANSACTION_ANOMALY,0.2437548856972756,0.05240432159296575,D0002,20,UPI,10,1.278489579799143
63,4280.78,Delhi,C0003,4,Travel|Entertainment,150588,0.07246527139741436,0.843945055238633,0.681529549137414,UPI|CARD|NET_BANKING,SCN-002026-0003,COMMUNICATION_SCAM,0.3193535896244496,0.111574135876101,D0003,20,UPI,9,1.0403546542308255
44,3045.96,Delhi,C0004,3,Food|Travel|Entertainment,115088,0.06567963456683096,0.8486645449318435,0.48926786877649797,CARD|UPI|NET_BANKING,SCN-002026-0004,TRANSACTION_ANOMALY,0.1726532717452542,0.16413421668978545,D0004,23,CARD,10,1.076032257928923
48,4088.89,Bangalore,C0005,3,Travel|Entertainment|Electronics,142438,0.11606712122129458,0.5174296874183358,0.699105199884039,UPI|CARD|NET_BANKING,SCN-002026-0005,COMMUNICATION_SCAM,0.12213368458759136,0.22286958863863973,D0005,23,UPI,9,0.8620250719450362
69,2948.14,Delhi,C0006,3,Electronics|Entertainment,106884,0.09850840312407881,0.49426829552131124,0.38999426420475053,UPI|CARD|NET_BANKING,SCN-002026-0006,CLASSIFIER_EVALUATION,0.33086669003022684,0.1785466201960984,D0006,20,UPI,10,1.3651223378781625
50,2869.38,Mumbai,C0007,2,Entertainment|Shopping|Electronics,115853,0.06512303216803073,0.8624163140081961,0.7139823633938023,CARD|UPI|NET_BANKING,SCN-002026-0007,KYC_IDENTITY,0.15366249630869033,0.041198784709343406,D0007,20,CARD,8,0.8556692883226353
52,3443.23,Hyderabad,C0008,5,Shopping|Entertainment|Fuel,132765,0.11375135610615059,0.837315181057118,0.54457015441147,UPI|CARD|NET_BANKING,SCN-002026-0008,KYC_IDENTITY,0.33302671848598997,0.1786440214195006,D0008,22,UPI,6,1.231665060419234
52,2218.74,Pune,C0009,1,Entertainment|Fuel,81162,0.11588245012323106,0.8131084985175259,0.43424438450334224,NET_BANKING|UPI|CARD,SCN-002026-0009,TRANSACTION_ANOMALY,0.15416334867184692,0.10648142280616112,D0009,22,NET_BANKING,7,1.106161513400311
42,2615.69,Hyderabad,C0010,3,Travel|Electronics,107458,0.03707336020014478,0.6599622641297296,0.7483741467656473,UPI|CARD|NET_BANKING,SCN-002026-0010,TRANSACTION_ANOMALY,0.23444102636143488,0.16227938678216847,D0010,22,UPI,8,1.0601123054387733
