amount,city,customer_id,device_id,edge_cases,is_fraud,merchant_id,payment_method,scenario_id,scenario_type,stage,timestamp,transaction_id
2207.76,Mumbai,C0001,D0001,,0,M0026,NET_BANKING,SCENARIO-C0001,KYC_IDENTITY,baseline,2025-06-27 11:42:57,T000001
1901.28,Mumbai,C0001,D0001,,0,M0026,NET_BANKING,SCENARIO-C0001,KYC_IDENTITY,baseline,2025-06-27 14:42:07,T000002
2711.21,Mumbai,C0001,D0001,,0,M0094,NET_BANKING,SCENARIO-C0001,KYC_IDENTITY,baseline,2025-06-29 18:27:40,T000003
2454.74,Mumbai,C0001,D0001,,0,M0088,NET_BANKING,SCENARIO-C0001,KYC_IDENTITY,baseline,2025-07-07 11:58:36,T000004
2052.78,Mumbai,C0001,D0001,,0,M0057,NET_BANKING,SCENARIO-C0001,KYC_IDENTITY,baseline,2025-07-08 10:58:47,T000005
2156.79,Mumbai,C0001,D0001,,0,M0088,NET_BANKING,SCENARIO-C0001,KYC_IDENTITY,baseline,2025-07-09 18:23:47,T000006
2019.77,Mumbai,C0001,D0001,,0,M0094,NET_BANKING,SCENARIO-C0001,KYC_IDENTITY,baseline,2025-07-10 14:47:36,T000007
1681.76,Mumbai,C0001,D0001,,0,M0057,NET_BANKING,SCENARIO-C0001,KYC_IDENTITY,baseline,2025-07-11 13:24:39,T000008
4848.84,Pune,C0001,D0001,large_purchase|new_city,0,M0094,NET_BANKING,SCENARIO-C0001,KYC_IDENTITY,baseline,2025-07-12 14:26:20,T000009
2087.06,Mumbai,C0001,D0001,off_hour,0,M0094,NET_BANKING,SCENARIO-C0001,KYC_IDENTITY,baseline,2025-07-18 08:51:00,T000010
2782.73,Pune,C0002,D0002,,0,M0119,UPI,SCENARIO-C0002,TRANSACTION_ANOMALY,baseline,2025-06-23 15:34:12,T000011
3866.85,Pune,C0002,D0002,,0,M0113,UPI,SCENARIO-C0002,TRANSACTION_ANOMALY,baseline,2025-06-24 18:04:50,T000012
4016.19,Pune,C0002,D0002,,0,M0113,UPI,SCENARIO-C0002,TRANSACTION_ANOMALY,baseline,2025-06-27 19:31:25,T000013
2996.41,Pune,C0002,D0002,,0,M0035,UPI,SCENARIO-C0002,TRANSACTION_ANOMALY,baseline,2025-06-30 16:28:50,T000014
4694.81,Pune,C0002,D0002,,0,M0119,UPI,SCENARIO-C0002,TRANSACTION_ANOMALY,baseline,2025-07-01 13:28:13,T000015
3637.69,Pune,C0002,D0002,,0,M0035,UPI,SCENARIO-C0002,TRANSACTION_ANOMALY,baseline,2025-07-02 17:06:47,T000016
3424.45,Pune,C0002,D0002,,0,M0119,UPI,SCENARIO-C0002,TRANSACTION_ANOMALY,baseline,2025-07-07 19:11:05,T000017
2877.24,Pune,C0002,D0002,off_hour,0,M0113,UPI,SCENARIO-C0002,TRANSACTION_ANOMALY,baseline,2025-07-11 07:47:06,T000018
3130.57,Pune,C0002,D0002,,0,M0113,UPI,SCENARIO-C0002,TRANSACTION_ANOMALY,baseline,2025-07-12 17:50:48,T000019
